;Movie title;Released Year;ImDb Rating
179;The Predator;2018;5,3
180;Star Trek;2009;7,9
181;Watchmen;2009;7,6
182;Star Wars: Episode I - The Phantom Menace;1999;6,5
183;Mortal Kombat;2021;6,1
184;The Revenant;2015;8
185;Red Notice;2021;6,3
186;Apocalypto;2006;7,8
187;The Tomorrow War;2021;6,5
188;Black Hawk Down;2001;7,7
189;Paws of Fury: The Legend of Hank;2022;5,6
190;Jumanji: The Next Level;2019;6,7
191;Venom: Let There Be Carnage;2021;5,9
192;Transformers;2007;7
193;Starship Troopers;1997;7,3
194;The Man from U.N.C.L.E.;2015;7,2
195;Indiana Jones and the Kingdom of the Crystal Skull;2008;6,2
196;In Time;2011;6,7
197;Pride and Prejudice and Zombies;2016;5,8
198;Enola Holmes;2020;6,6
199;Pirates of the Caribbean: Dead Men Tell No Tales;2017;6,5
200;Thallumaala;2022;7,1
201;The Hunt for Red October;1990;7,6
202;Fantastic Four;2015;4,3
203;Jumanji: Welcome to the Jungle;2017;6,9
204;Aquaman;2018;6,8
205;Jack Reacher;2012;7
206;Wire Room;2022;3,5
207;Wanted;2008;6,7
208;The Poseidon Adventure;1972;7,1
209;Doctor Strange;2016;7,5
210;Saloum;2021;6,3
211;V for Vendetta;2005;8,2
212;Chaos Walking;2021;5,7
213;The Italian Job;2003;7
214;Red Sparrow;2018;6,6
215;The Hunger Games: Catching Fire;2013;7,5
216;Scott Pilgrim vs. the World;2010;7,5
217;Man of Steel;2013;7,1
218;Natural Born Killers;1994;7,2
219;Death Proof;2007;7
220;The Princess;2022;5,6
221;Skyfall;2012;7,8
222;Children of Men;2006;7,9
223;Train to Busan;2016;7,6
224;Wonder Woman 1984;2020;5,4
225;Mission: Impossible;1996;7,1
226;Resident Evil: Welcome to Raccoon City;2021;5,2
227;Avengers: Age of Ultron;2015;7,3
228;The Amazing Spider-Man;2012;6,9
229;John Wick: Chapter 3 - Parabellum;2019;7,4
230;One Way;2022;3,8
231;The Expendables;2010;6,4
232;Kick-Ass;2010;7,6
233;Venom;2018;6,6
234;The Equalizer;2014;7,2
235;The Incredibles;2004;8
236;RoboCop;2014;6,2
237;Hulk;2003;5,6
238;The Fast and the Furious;2001;6,8
239;Interceptor;2022;4,5
240;The Meg;2018;5,6
241;Harry Potter and the Order of the Phoenix;2007;7,5
242;Logan Lucky;2017;7
243;Tropic Thunder;2008;7
244;The Expendables 3;2014;6,1
245;Training Day;2001;7,7
246;Resident Evil;2002;6,6
247;United 93;2006;7,6
248;Captain America: Civil War;2016;7,8
249;American Made;2017;7,1
250;Justice League;2017;6,1
251;Mission: Impossible III;2006;6,9
252;Birds of Prey;2020;6
253;Ant-Man and the Wasp;2018;7
254;Men in Black;1997;7,3
255;Immortals;2011;6
256;Blackbird;2022;3,4
257;The Huntsman: Winter's War;2016;6,1
258;Mulan;2020;5,7
259;Hercules;2014;6
260;TRON: Legacy;2010;6,8
261;13 Hours;2016;7,3
262;Snowpiercer;2013;7,1
263;The Protégé;2021;6,1
264;Game Night;2018;6,9
265;Spider-Man 3;2007;6,3
266;6 Underground;2019;6,1
267;Public Enemies;2009;7
268;Solo: A Star Wars Story;2018;6,9
269;Kingdom of Heaven;2005;7,2
270;Power Rangers;2017;5,9
271;Star Wars: Episode VII - The Force Awakens;2015;7,8
272;John Wick: Chapter 2;2017;7,4
273;Fast & Furious Presents: Hobbs & Shaw;2019;6,5
274;Batman;1989;7,5
275;Star Wars: Episode III - Revenge of the Sith;2005;7,6
276;The Blues Brothers;1980;7,9
277;Polar;2019;6,3
278;War of the Worlds;2005;6,5
279;The Mask;1994;6,9
280;Austin Powers: The Spy Who Shagged Me;1999;6,6
281;Harry Potter and the Half-Blood Prince;2009;7,6
282;RocknRolla;2008;7,2
283;The Maze Runner;2014;6,8
284;King Arthur: Legend of the Sword;2017;6,7
285;Get Carter;1971;7,4
286;Kingsman: The Golden Circle;2017;6,7
287;Spider-Man: Far from Home;2019;7,4
288;National Treasure;2004;6,9
289;Ant-Man;2015;7,3
290;Mad Max;1979;6,8
291;King Kong;2005;7,2
292;The Crow;1994;7,5
293;The Patriot;2000;7,2
294;RoboCop;1987;7,6
295;The Running Man;1987;6,6
296;Oblivion;2013;7
297;RED;2010;7
298;Big Trouble in Little China;1986;7,2
299;The Vault;2021;6,4
300;Star Wars: Episode V - The Empire Strikes Back;1980;8,7
301;Star Wars: Episode VIII - The Last Jedi;2017;6,9
302;Lock, Stock and Two Smoking Barrels;1998;8,2
303;Star Wars: Episode VI - Return of the Jedi;1983;8,3
304;Sonic the Hedgehog;2020;6,5
305;Trauma;2017;5
306;Charlie's Angels;2019;4,9
307;Rush;2013;8,1
308;Spectre;2015;6,8
309;X-Men: The Last Stand;2006;6,6
310;2012;2009;5,8
311;Mortal Engines;2018;6,1
312;World War Z;2013;7
313;Godzilla vs. Kong;2021;6,3
314;Terminator Genisys;2015;6,3
315;Devotion;2022;5,8
316;The Accountant;2016;7,3
317;Austin Powers in Goldmember;2002;6,2
318;The World's End;2013;6,9
319;Sherlock Holmes;2009;7,6
320;Tomb Raider;2018;6,3
321;Sky High;2005;6,3
322;Superman;1978;7,4
323;Red Dawn;1984;6,3
324;X-Men: Apocalypse;2016;6,9
325;The Harder They Fall;2021;6,5
326;Clear and Present Danger;1994;6,9
327;The Last Samurai;2003;7,8
328;Iron Man 3;2013;7,1
329;Maverick;1994;7
330;John Carter;2012;6,6
331;The Last of the Mohicans;1992;7,7
332;Captain America: The Winter Soldier;2014;7,8
333;I Am Legend;2007;7,2
334;Shamshera;2022;4,8
335;Terminator: Dark Fate;2019;6,2
336;They Live;1988;7,2
337;Minority Report;2002;7,7
338;Jungle Cruise;2021;6,6
339;Ava;#¡VALOR!;5,4
340;Predestination;2014;7,4
341;Highlander;1986;7,1
342;Mandy;2018;6,5
343;Serenity;2005;7,8
344;Dredd;2012;7,1
345;Teenage Mutant Ninja Turtles;1990;6,7
346;Conan the Barbarian;1982;6,9
347;Old Henry;2021;7,2
348;Cowboys & Aliens;2011;6
349;Army of the Dead;2021;5,7
350;Pirates of the Caribbean: Dead Man's Chest;2006;7,3
351;The Lost World: Jurassic Park;1997;6,5
352;X-Men: First Class;2011;7,7
353;Greenland;2020;6,4
354;King Arthur;2004;6,3
355;Ocean's Eight;2018;6,3
356;Gods of Egypt;2016;5,4
357;Pirates of the Caribbean: On Stranger Tides;2011;6,6
358;Predators;2010;6,4
359;Krull;1983;6,1
360;Layer Cake;2004;7,3
361;Kong: Skull Island;2017;6,6
362;Shazam!;2019;7
363;Batman v Superman: Dawn of Justice;2016;6,4
364;Kindergarten Cop;1990;6,2
365;Hitman's Wife's Bodyguard;2021;6,1
366;The Warriors;1979;7,5
367;Deep in It;2022;2,2
368;Vikram Vedha;2017;8,3
369;The Old Guard;2020;6,6
370;Taken;2008;7,8
371;Wolves of War;2022;4,3
372;Atlantis: The Lost Empire;2001;6,9
373;The Day After Tomorrow;2004;6,4
374;The Matrix Reloaded;2003;7,2
375;The Sum of All Fears;2002;6,4
376;Law Abiding Citizen;2009;7,4
377;Raya and the Last Dragon;2021;7,3
378;X-Men: Days of Future Past;2014;7,9
379;Carter;2022;5,1
380;The Magnificent Seven;2016;6,8
381;Outlaw King;2018;6,9
382;The Other Guys;2010;6,6
383;Dawn of the Dead;2004;7,3
384;Fantastic Four;2005;5,7
385;Sucker Punch;2011;6
386;Extraction;2020;6,7
387;Pearl Harbor;2001;6,2
388;Army of Thieves;2021;6,4
389;Seven Samurai;1954;8,6
390;The Bourne Identity;2002;7,9
391;Mission: Impossible - Rogue Nation;2015;7,4
392;The Shallows;2016;6,3
393;Warcraft;2016;6,7
394;12 Strong;2018;6,5
395;GoldenEye;1995;7,2
396;District 9;2009;7,9
397;The Divergent Series: Insurgent;2015;6,2
398;I Saw the Devil;2010;7,8
399;Journey to the Center of the Earth;2008;5,8
400;Lone Survivor;2013;7,5
401;The Iron Giant;1999;8,1
402;Shooter;2007;7,2
403;Iron Man 2;2010;6,9
404;Armageddon;1998;6,7
405;Fast & Furious;2009;6,5
406;Major;2022;8,2
407;Mission: Impossible - Ghost Protocol;2011;7,4
408;The Host;2013;5,8
409;Spider-Man 2;2004;7,4
410;Elysium;2013;6,6
411;Total Recall;1990;7,5
412;The Girl in the Spider's Web;2018;6,1
413;The Scorpion King;2002;5,5
414;London Has Fallen;2016;5,9
415;The Karate Kid;2010;6,2
416;K.G.F: Chapter 2;2022;8,4
417;Liger;2022;3,1
418;Allied;2016;7,1
419;Quantum of Solace;2008;6,6
420;Blade;1998;7,1
421;Den of Thieves;2018;7
422;Predator 2;1990;6,3
423;Batman & Robin;1997;3,7
424;The Last Boy Scout;1991;7
425;Gold;2022;5,4
426;Source Code;2011;7,5
427;Furious 7;2015;7,1
428;Stargate;1994;7
429;Kung Fu Panda;2008;7,6
430;Lou;2022;6
431;Hellboy;2019;5,2
432;Smokey and the Bandit;1977;6,9
433;It's a Mad Mad Mad Mad World;1963;7,5
434;Star Wars: Episode II - Attack of the Clones;2002;6,6
435;Allegiant;2016;5,6
436;Men in Black 3;2012;6,8
437;The Rock;1996;7,4
438;Munich;2005;7,5
